id,value
0,
0.1,
0.1.33,
0.1.33.51,1000
0.1.33.52,1000
0.1.34,1000
0.2,1000
0.3,1000
0.5,
0.5.69,1000
0.5.70,1000
0.8,1000
0.10,1000
0.11,
0.11.30,
0.11.30.43,1000
0.11.31,1000
0.12,
0.12.20,1000
0.12.21,1000
0.13,1000
0.28,
0.28.60,
0.28.60.79,1000
0.28.60.80,1000
0.28.61,1000
0.42,1000
0.44,1000
0.47,1000
0.48,1000
0.49,1000
0.50,1000
0.56,
0.56.67,1000
0.56.68,1000
0.63,1000
0.64,1000
0.77,1000
0.87,1000
0.89,1000
0.90,
0.90.105,1000
0.90.106,1000
0.91,
0.91.118,1000
0.91.119,1000
0.94,1000
0.100,1000
0.104,1000
0.110,1000
0.127,1000
0.128,1000
0.129,1000
0.130,1000
