id,value
0,
0.1,1000
0.2,1000
0.7,1000
0.8,1000
0.10,
0.10.12,1000
0.10.13,
0.10.13.32,1000
0.10.13.33,1000
0.64,1000
0.68,
0.68.111,1000
0.68.112,1000
0.71,1000
0.82,1000
0.96,1000
0.101,1000
0.102,1000
0.103,1000
0.104,1000
0.113,1000
0.116,1000
0.118,1000
0.119,
0.68.112.128,
0.68.112.128.136,1000
0.68.112.128.137,1000
0.68.112.129,
0.68.112.128.137.138,1000
0.68.112.128.137.139,1000
0.145,
0.145.156,
0.145.156.168,1000
0.145.156.169,1000
0.145.157,1000
0.167,
0.167.176,
0.167.176.178,1000
0.167.176.179,1000
0.167.177,1000
0.180,
0.167.176.179.181,1000
0.167.176.179.182,
0.167.176.179.182.191,1000
0.167.176.179.182.192,1000
0.201,
0.201.232,1000
0.201.233,1000
0.216,1000
0.224,1000
0.231,
0.201.233.237,1000
0.201.233.238,1000
0.239,
0.239.249,1000
0.239.250,1000
0.244,
0.244.251,1000
0.244.252,1000
0.271,
0.271.298,1000
0.271.299,1000
0.287,1000
0.288,
0.288.308,
0.288.308.313,1000
0.288.308.314,1000
0.288.309,1000
0.290,
0.290.304,1000
0.290.305,1000
0.292,
0.244.252.306,
0.244.252.306.372,
0.244.252.306.372.422,1000
0.244.252.306.372.423,1000
0.244.252.306.373,1000
0.244.252.307,1000
0.324,1000
0.329,1000
0.335,
0.335.349,
0.335.349.365,1000
0.335.349.366,1000
0.335.350,1000
0.343,1000
0.344,1000
0.348,1000
0.351,
0.351.360,1000
0.351.361,1000
0.359,
0.359.404,
0.359.404.428,1000
0.359.404.429,1000
0.359.405,
0.271.299.363,
0.271.299.363.382,1000
0.271.299.363.383,1000
0.271.299.364,1000
0.368,
0.351.361.376,1000
0.351.361.377,1000
0.378,
0.271.299.364.379,1000
0.271.299.364.380,1000
0.381,1000
0.388,1000
0.389,1000
0.393,
0.393.455,1000
0.393.456,1000
0.395,
0.335.349.366.407,
0.335.349.366.407.583,1000
0.335.349.366.407.584,1000
0.335.349.366.408,1000
0.409,1000
0.415,
0.415.431,
0.415.431.1172,1000
0.415.431.1173,1000
0.415.432,1000
0.417,1000
0.418,
0.271.299.364.380.419,
0.271.299.364.380.419.506,1000
0.271.299.364.380.419.507,1000
0.271.299.364.380.420,1000
0.427,
0.427.493,1000
0.441,1000
0.442,
0.442.487,
0.442.487.491,1000
0.442.487.492,1000
0.442.488,1000
0.449,
0.359.404.429.464,1000
0.359.404.429.465,1000
0.468,
0.468.478,1000
0.468.479,1000
0.490,1000
0.494,
0.494.738,1000
