id,value
0,
0.1,
0.1.1648,
0.1.1648.3576,1000
0.1.1648.3577,1000
0.1.1652,1000
0.2,
0.2.641,
0.2.641.1480,
0.2.641.1480.2960,1000
0.2.641.1480.2964,1000
0.2.641.1482,1000
0.2.643,1000
0.3,1000
0.4,
0.4.144,
0.4.144.776,
0.4.144.776.817,1000
0.4.144.776.818,1000
0.4.144.778,1000
0.4.145,1000
0.5,
0.5.1130,
0.5.1130.3006,1000
0.5.1130.3012,1000
0.5.1136,1000
0.6,
0.6.495,
0.6.495.1227,
0.6.495.1227.2926,1000
0.6.495.1227.2931,1000
0.6.495.1228,1000
0.6.497,1000
0.7,
0.7.525,
0.7.525.1293,
0.7.525.1293.2611,
0.7.525.1293.2611.2649,1000
0.7.525.1293.2611.2654,1000
0.7.525.1293.2612,1000
0.7.525.1297,1000
0.7.527,1000
0.8,
0.8.250,
0.8.250.1340,
0.8.250.1340.3049,1000
0.8.250.1340.3050,1000
0.8.250.1341,1000
0.8.252,1000
0.9,
0.9.1325,
0.9.1325.3584,1000
0.9.1325.3585,1000
0.9.1326,1000
0.10,
0.10.132,
0.10.132.567,
0.10.132.567.1270,1000
0.10.132.567.1272,1000
0.10.132.569,1000
0.10.133,1000
0.11,
0.11.147,
0.11.147.449,
0.11.147.449.470,1000
0.11.147.449.471,1000
0.11.147.451,1000
0.11.148,1000
0.12,
0.12.106,
0.12.106.423,
0.12.106.423.460,
0.12.106.423.460.1144,
0.12.106.423.460.1144.2409,1000
0.12.106.423.460.1144.2414,1000
0.12.106.423.460.1145,1000
0.12.106.423.461,1000
0.12.106.424,1000
0.12.107,1000
0.13,
0.13.102,
0.13.102.552,
0.13.102.552.1770,1000
0.13.102.552.1771,1000
0.13.102.555,1000
0.13.103,1000
0.14,
0.14.216,
0.14.216.679,
0.14.216.679.1692,
0.14.216.679.1692.3400,1000
0.14.216.679.1692.3407,1000
0.14.216.679.1693,1000
0.14.216.680,1000
0.14.218,1000
0.15,
0.15.275,
0.15.275.768,
0.15.275.768.1444,
0.15.275.768.1444.2764,1000
0.15.275.768.1444.2766,1000
0.15.275.768.1445,1000
0.15.275.770,1000
0.15.277,1000
0.16,
0.16.624,
0.16.624.1450,1000
0.16.624.1451,1000
0.16.625,1000
0.17,
0.17.91,1000
0.17.92,1000
0.18,
0.18.521,
0.18.521.1456,
0.18.521.1456.2350,1000
0.18.521.1456.2356,1000
0.18.521.1457,1000
0.18.523,1000
0.19,
0.19.490,
0.19.490.1131,1000
0.19.490.1137,1000
0.19.491,1000
0.20,
0.20.745,
0.20.745.904,1000
0.20.745.905,1000
0.20.747,1000
0.21,1000
0.22,1000
0.23,
0.23.621,
0.23.621.1463,1000
0.23.621.1466,1000
0.23.622,1000
0.24,
0.24.292,
0.24.292.681,1000
0.24.292.685,1000
0.24.293,1000
0.25,
0.25.1152,
0.25.1152.2599,1000
0.25.1152.2605,1000
0.25.1153,1000
0.26,
0.26.1372,1000
0.26.1373,1000
0.27,1000
0.28,
0.28.798,
0.28.798.1524,
0.28.798.1524.3107,1000
0.28.798.1524.3108,1000
0.28.798.1528,1000
0.28.799,1000
0.29,
0.29.233,
0.29.233.642,
0.29.233.642.1374,1000
0.29.233.642.1375,1000
0.29.233.644,1000
0.29.234,1000
0.30,
0.30.522,
0.30.522.1148,1000
0.30.522.1151,1000
0.30.524,1000
0.31,
0.31.440,
0.31.440.1309,
0.31.440.1309.2624,1000
0.31.440.1309.2629,1000
0.31.440.1312,1000
0.31.441,1000
0.32,
0.32.124,
0.32.124.492,
0.32.124.492.1446,
0.32.124.492.1446.2883,1000
0.32.124.492.1446.2889,1000
0.32.124.492.1447,1000
0.32.124.493,1000
0.32.126,1000
0.33,
0.33.118,1000
0.33.119,1000
0.34,
0.34.2472,
0.34.2472.3079,1000
0.34.2472.3080,1000
0.34.2473,1000
0.35,
0.35.394,
0.35.394.2495,1000
0.35.394.2496,1000
0.35.395,1000
0.36,
0.36.200,
0.36.200.565,
0.36.200.565.630,
0.36.200.565.630.637,1000
0.36.200.565.630.638,1000
0.36.200.565.631,1000
0.36.200.566,1000
0.36.201,1000
0.37,
0.37.426,
0.37.426.1122,
0.37.426.1122.2869,1000
0.37.426.1122.2870,1000
0.37.426.1123,1000
0.37.428,1000
0.38,
0.38.406,
0.38.406.906,
0.38.406.906.2293,1000
0.38.406.906.2297,1000
0.38.406.907,1000
0.38.407,1000
0.39,
0.39.272,
0.39.272.966,
0.39.272.966.2371,1000
0.39.272.966.2372,1000
0.39.272.967,1000
0.39.273,1000
0.40,
0.40.138,
0.40.138.1075,
0.40.138.1075.2200,1000
0.40.138.1075.2204,1000
0.40.138.1078,1000
0.40.139,1000
0.41,
0.41.450,
0.41.450.949,
0.41.450.949.1981,1000
0.41.450.949.1984,1000
0.41.450.950,1000
0.41.452,1000
0.42,1000
0.43,
0.43.75,1000
0.43.76,1000
0.44,
0.44.659,1000
0.44.660,1000
0.45,
0.45.2706,1000
0.45.2709,1000
0.46,
0.46.198,
0.46.198.326,
0.46.198.326.732,
0.46.198.326.732.1777,1000
0.46.198.326.732.1784,1000
0.46.198.326.733,1000
0.46.198.327,1000
0.46.199,1000
0.47,
0.47.861,1000
0.47.862,1000
0.48,
0.48.662,
0.48.662.1437,1000
0.48.662.1440,1000
0.48.663,1000
0.49,
0.49.230,
0.49.230.543,
0.49.230.543.975,
0.49.230.543.975.1964,1000
0.49.230.543.975.1968,1000
0.49.230.543.978,1000
0.49.230.545,1000
0.49.231,1000
0.50,
0.50.402,
0.50.402.632,
0.50.402.632.2458,
0.50.402.632.2458.2876,1000
0.50.402.632.2458.2877,1000
0.50.402.632.2462,1000
0.50.402.633,1000
0.50.403,1000
0.51,
0.51.2289,1000
0.51.2290,1000
0.52,
0.52.410,
0.52.410.822,1000
0.52.410.825,1000
0.52.411,1000
0.53,
0.53.217,
0.53.217.239,
0.53.217.239.366,1000
0.53.217.239.367,1000
0.53.217.240,1000
0.53.219,1000
0.54,
0.54.302,
0.54.302.619,
0.54.302.619.1580,1000
0.54.302.619.1581,1000
0.54.302.620,1000
0.54.305,1000
0.55,
0.55.476,
0.55.476.1057,
0.55.476.1057.2690,
0.55.476.1057.2690.2897,1000
0.55.476.1057.2690.2898,1000
0.55.476.1057.2691,1000
0.55.476.1060,1000
0.55.477,1000
0.56,
0.56.413,1000
0.56.414,1000
0.57,
0.57.163,
0.57.163.243,1000
0.57.163.244,1000
0.57.164,1000
0.58,
0.58.245,
0.58.245.3682,1000
0.58.245.3685,1000
0.58.246,1000
0.59,
0.59.248,
0.59.248.276,1000
0.59.248.278,1000
0.59.249,1000
0.60,
0.60.746,
0.60.746.2478,1000
0.60.746.2479,1000
0.60.748,1000
0.61,
0.61.165,
0.61.165.549,
0.61.165.549.859,
0.61.165.549.859.1076,1000
0.61.165.549.859.1079,1000
0.61.165.549.860,1000
0.61.165.550,1000
0.61.166,1000
0.62,
0.62.251,
0.62.251.595,
0.62.251.595.1174,
0.62.251.595.1174.2185,1000
0.62.251.595.1174.2186,1000
0.62.251.595.1179,1000
0.62.251.596,1000
0.62.253,1000
0.63,
0.63.416,
0.63.416.880,
0.63.416.880.1780,
0.63.416.880.1780.3366,1000
0.63.416.880.1780.3367,1000
0.63.416.880.1787,1000
0.63.416.882,1000
0.63.417,1000
0.64,1000
0.65,
0.65.316,
0.65.316.1209,1000
0.65.316.1212,1000
0.65.317,1000
0.66,1000
0.67,
0.67.300,
0.67.300.649,1000
0.67.300.650,1000
0.67.301,1000
0.68,
0.68.125,
0.68.125.446,
0.68.125.446.712,1000
0.68.125.446.714,1000
0.68.125.448,1000
0.68.127,1000
0.69,
0.69.122,1000
0.69.123,1000
0.70,
0.70.418,
0.70.418.867,
0.70.418.867.3190,
0.70.418.867.3190.3398,1000
0.70.418.867.3190.3399,1000
0.70.418.867.3191,1000
0.70.418.868,1000
0.70.419,1000
0.71,
0.71.136,
0.71.136.463,
0.71.136.463.791,
0.71.136.463.791.1547,1000
0.71.136.463.791.1550,1000
0.71.136.463.792,1000
0.71.136.464,1000
0.71.137,1000
0.72,
0.72.532,
0.72.532.1218,1000
0.72.532.1219,1000
0.72.534,1000
0.73,
0.73.344,
0.73.344.964,
0.73.344.964.2789,1000
0.73.344.964.2791,1000
0.73.344.965,1000
0.73.345,1000
0.74,1000
0.77,1000
0.78,1000
0.79,1000
0.80,1000
0.84,1000
0.85,1000
0.86,1000
0.87,1000
0.88,1000
0.89,1000
0.90,1000
0.93,1000
0.94,1000
0.96,1000
0.97,1000
0.98,1000
0.99,1000
0.100,1000
0.101,1000
0.104,1000
0.105,1000
0.108,1000
0.109,1000
0.110,1000
0.111,1000
0.115,1000
0.116,1000
0.117,1000
0.120,1000
0.121,1000
0.131,1000
0.134,1000
0.135,1000
0.140,
0.140.834,
0.140.834.3082,1000
0.140.834.3083,1000
0.140.836,1000
0.141,1000
0.151,1000
0.159,1000
0.160,
0.160.1220,
0.160.1220.2321,1000
0.160.1220.2322,1000
0.160.1221,1000
0.162,1000
0.167,1000
0.170,1000
0.174,1000
0.177,1000
0.178,1000
0.179,1000
0.182,1000
0.184,1000
0.188,1000
0.191,1000
0.192,1000
0.194,1000
0.195,
0.195.1091,
0.195.1091.3031,1000
0.195.1091.3032,1000
0.195.1093,
0.195.1093.2929,1000
0.195.1093.2934,1000
0.43.76.196,
0.43.76.196.235,
0.43.76.196.235.777,
0.43.76.196.235.777.1859,
0.43.76.196.235.777.1859.3604,1000
0.43.76.196.235.777.1859.3609,1000
0.43.76.196.235.777.1861,1000
0.43.76.196.235.779,1000
0.43.76.196.236,1000
0.43.76.197,1000
0.202,
0.46.199.203,
0.46.199.203.1405,
0.46.199.203.1405.2717,1000
0.46.199.203.1405.2718,1000
0.46.199.203.1406,1000
0.46.199.204,1000
0.205,1000
0.206,1000
0.207,1000
0.208,
0.208.538,
0.208.538.984,
0.208.538.984.1017,
0.208.538.984.1017.1100,
0.208.538.984.1017.1100.2402,1000
0.208.538.984.1017.1100.2403,1000
0.208.538.984.1017.1101,1000
0.208.538.984.1024,1000
0.208.538.985,1000
0.208.539,1000
0.209,1000
0.210,1000
0.221,1000
0.222,1000
0.223,1000
0.229,1000
0.232,1000
0.238,
0.238.360,
0.238.360.3590,1000
0.238.360.3591,1000
0.238.361,1000
0.241,1000
0.242,1000
0.259,1000
0.260,1000
0.266,1000
0.267,1000
0.274,1000
0.280,1000
0.281,1000
0.282,1000
0.283,1000
0.284,1000
0.285,1000
0.294,1000
0.295,
0.295.1728,1000
0.295.1733,1000
0.296,
0.296.348,1000
0.296.349,
0.69.123.304,
0.69.123.304.784,
0.69.123.304.784.1841,1000
0.69.123.304.784.1842,1000
0.69.123.304.787,1000
0.69.123.307,1000
0.309,1000
0.310,1000
0.311,
0.49.231.312,
0.49.231.312.583,
0.49.231.312.583.2146,1000
0.49.231.312.583.2149,1000
0.49.231.312.584,1000
0.49.231.313,1000
0.320,1000
0.321,1000
0.322,1000
0.323,1000
0.324,1000
0.325,1000
0.328,1000
0.329,1000
0.330,1000
0.331,1000
0.341,1000
0.351,1000
0.352,
0.352.673,1000
0.352.675,1000
0.353,1000
0.354,1000
0.355,1000
0.356,1000
0.358,
0.358.604,
0.358.604.1348,1000
0.358.604.1349,1000
0.358.605,1000
0.359,
0.59.248.278.362,
0.59.248.278.362.1939,1000
0.59.248.278.362.1942,1000
0.59.248.278.363,1000
0.369,1000
0.370,1000
0.371,1000
0.372,1000
0.373,1000
0.374,1000
0.375,1000
0.376,1000
0.383,1000
0.384,1000
0.385,1000
0.386,1000
0.387,1000
0.388,1000
0.389,1000
0.390,1000
0.391,1000
0.397,1000
0.398,1000
0.399,1000
0.400,1000
0.401,1000
0.412,1000
0.415,
0.4.145.425,
0.4.145.425.466,
0.4.145.425.466.1523,
0.4.145.425.466.1523.2004,1000
0.4.145.425.466.1523.2008,1000
0.4.145.425.466.1527,1000
0.4.145.425.467,1000
0.4.145.427,1000
0.430,
0.56.414.431,1000
0.56.414.432,1000
0.433,1000
0.436,1000
0.437,
0.437.994,
0.437.994.3195,1000
0.437.994.3202,1000
0.437.995,
0.12.106.424.438,1000
0.12.106.424.439,1000
0.68.127.445,
0.68.127.445.823,
0.68.127.445.823.1729,
0.68.127.445.823.1729.3641,1000
0.68.127.445.823.1729.3648,1000
0.68.127.445.823.1734,1000
0.68.127.445.826,1000
0.68.127.447,1000
0.459,
0.459.1003,1000
0.459.1004,1000
0.479,
0.479.743,
0.479.743.3327,1000
0.479.743.3328,1000
0.479.744,1000
0.486,
0.486.2954,1000
0.486.2955,1000
0.488,1000
0.489,
0.56.414.432.496,
0.56.414.432.496.869,
0.56.414.432.496.869.1996,
0.56.414.432.496.869.1996.2759,1000
0.56.414.432.496.869.1996.2760,1000
0.56.414.432.496.869.1997,1000
0.56.414.432.496.873,1000
0.56.414.432.498,1000
0.71.137.503,
0.71.137.503.2002,1000
0.71.137.503.2003,1000
0.71.137.504,
0.71.137.504.2296,1000
0.71.137.504.2300,1000
0.61.166.513,
0.61.166.513.1902,1000
0.61.166.513.1903,1000
0.61.166.514,
0.61.166.514.870,
0.61.166.514.870.2000,
0.61.166.514.870.2000.3683,1000
0.61.166.514.870.2000.3686,1000
0.61.166.514.870.2001,1000
0.61.166.514.874,1000
0.32.126.517,
0.32.126.517.1275,
0.32.126.517.1275.2270,1000
0.32.126.517.1275.2272,1000
0.32.126.517.1276,1000
0.32.126.518,1000
0.519,
0.519.1187,
0.519.1187.1559,1000
0.519.1187.1562,1000
0.519.1188,1000
0.520,
0.13.103.531,1000
0.13.103.533,1000
0.548,1000
0.557,1000
0.560,1000
0.561,1000
0.562,
0.40.139.568,
0.40.139.568.579,
0.40.139.568.579.2221,1000
0.40.139.568.579.2222,1000
0.40.139.568.580,1000
0.40.139.570,1000
0.574,1000
0.575,
