id,value
0,
0.1,
0.1.228,1000
0.1.229,1000
0.2,
0.2.110,1000
0.2.111,1000
0.3,1000
0.4,1000
0.5,1000
0.6,1000
0.8,
0.8.221,1000
0.8.222,1000
0.10,1000
0.12,1000
0.13,1000
0.14,1000
0.15,1000
0.16,
0.16.232,1000
0.16.233,1000
0.17,
0.17.172,1000
0.17.173,1000
0.18,1000
0.20,
0.20.64,1000
0.20.65,1000
0.21,
0.21.251,1000
0.21.252,1000
0.22,1000
0.23,
0.23.201,1000
0.23.202,1000
0.24,1000
0.25,1000
0.26,1000
0.27,1000
0.28,
0.28.123,1000
0.28.124,1000
0.29,1000
0.30,1000
0.31,
0.31.217,1000
0.31.218,1000
0.32,1000
0.33,1000
0.34,1000
0.36,1000
0.37,1000
0.38,1000
0.39,
0.39.236,1000
0.39.237,1000
0.40,1000
0.41,1000
0.42,1000
0.43,
0.43.141,
0.43.141.234,1000
0.43.141.235,1000
0.43.142,1000
0.44,1000
0.45,1000
0.47,
0.47.209,1000
0.47.212,1000
0.48,
0.48.121,
0.48.121.214,1000
0.48.121.216,1000
0.48.122,1000
0.50,1000
0.56,1000
0.57,1000
0.58,1000
0.59,
0.59.90,1000
0.59.92,1000
0.60,1000
0.61,1000
0.63,1000
0.81,1000
0.82,1000
0.83,1000
0.84,1000
0.85,1000
0.106,1000
0.107,1000
0.108,1000
0.109,1000
0.130,1000
0.131,1000
0.132,
0.48.122.139,1000
0.48.122.140,1000
0.2.111.143,1000
0.147,1000
0.164,1000
0.165,1000
0.166,1000
0.169,1000
0.186,1000
0.187,
0.17.173.192,1000
0.17.173.193,1000
0.196,1000
0.197,1000
0.207,1000
0.208,1000
0.230,1000
0.231,1000
0.263,1000
0.264,1000
0.269,1000
0.270,1000
0.271,1000
0.272,1000
