id,value
0,
0.1,
0.1.30,
0.1.30.111,1000
0.1.30.112,1000
0.1.31,1000
0.2,
0.2.48,1000
0.2.49,1000
0.3,
0.3.85,1000
0.3.86,1000
0.4,
0.4.91,1000
0.4.92,1000
0.5,
0.5.38,
0.5.38.109,1000
0.5.38.110,1000
0.5.39,1000
0.6,
0.6.34,1000
0.6.35,1000
0.7,
0.7.78,1000
0.7.79,1000
0.8,
0.8.42,
0.8.42.102,1000
0.8.42.103,1000
0.8.43,1000
0.9,
0.9.98,1000
0.9.99,1000
0.10,
0.10.94,
0.10.94.209,1000
0.10.94.210,1000
0.10.95,1000
0.11,
0.11.62,1000
0.11.63,1000
0.12,
0.12.32,
0.12.32.104,1000
0.12.32.105,1000
0.12.33,1000
0.13,
0.13.66,
0.13.66.180,1000
0.13.66.181,1000
0.13.67,1000
0.14,
0.14.54,
0.14.54.174,1000
0.14.54.175,1000
0.14.55,1000
0.15,
0.15.44,
0.15.44.145,1000
0.15.44.146,1000
0.15.45,1000
0.16,
0.16.64,1000
0.16.65,1000
0.17,
0.17.69,
0.17.69.177,1000
0.17.69.178,1000
0.17.70,1000
0.18,
0.18.76,1000
0.18.77,1000
0.19,
0.19.89,1000
0.19.90,1000
0.20,
0.20.52,
0.20.52.171,1000
0.20.52.172,1000
0.20.53,1000
0.21,
0.21.60,1000
0.21.61,1000
0.22,
0.22.56,
0.22.56.161,1000
0.22.56.162,1000
0.22.57,1000
0.23,
0.23.80,
0.23.80.199,1000
0.23.80.201,1000
0.23.81,1000
0.24,
0.24.46,1000
0.24.47,1000
0.25,
0.25.58,1000
0.25.59,1000
0.26,
0.26.50,1000
0.26.51,1000
0.27,
0.27.82,
0.27.82.186,1000
0.27.82.187,1000
0.27.83,1000
0.28,
0.28.40,
0.28.40.123,1000
0.28.40.124,1000
0.28.41,1000
0.29,
0.29.36,
0.29.36.125,1000
0.29.36.126,1000
0.29.37,
0.29.37.133,1000
0.29.37.134,
0.29.37.134.163,1000
0.29.37.134.164,1000
0.1.31.100,1000
0.1.31.101,1000
0.15.45.113,1000
0.15.45.114,1000
0.115,
0.6.35.118,1000
0.6.35.120,1000
0.28.41.119,1000
0.28.41.121,1000
0.8.43.129,1000
0.8.43.130,1000
0.132,
0.24.47.155,1000
0.24.47.156,1000
0.20.53.157,1000
0.20.53.158,1000
0.22.57.159,1000
0.22.57.160,1000
0.165,
0.165.193,1000
0.165.194,1000
0.166,
0.14.55.167,1000
0.14.55.168,1000
0.169,1000
0.170,1000
0.173,1000
0.176,1000
0.179,1000
0.182,
0.13.67.183,1000
0.13.67.184,1000
0.185,1000
0.188,
0.18.77.191,1000
0.18.77.192,1000
0.197,
0.19.90.198,
0.19.90.198.202,1000
0.19.90.198.203,1000
0.19.90.200,1000
0.9.99.207,1000
0.9.99.208,1000
