id,value
0,
0.1,1000
0.2,
0.2.5,
0.2.5.10,
0.2.5.10.26,
0.2.5.10.26.54,
0.2.5.10.26.54.141,1000
0.2.5.10.26.54.142,1000
0.2.5.10.26.55,1000
0.2.5.10.27,1000
0.2.5.11,1000
0.2.6,1000
0.3,
0.3.7,
0.3.7.21,
0.3.7.21.38,
0.3.7.21.38.83,
0.3.7.21.38.83.145,
0.3.7.21.38.83.145.659,
0.3.7.21.38.83.145.659.733,1000
0.3.7.21.38.83.145.659.734,1000
0.3.7.21.38.83.145.660,1000
0.3.7.21.38.83.146,1000
0.3.7.21.38.84,1000
0.3.7.21.41,1000
0.3.7.22,1000
0.3.8,1000
0.4,
0.4.19,
0.4.19.93,
0.4.19.93.287,
0.4.19.93.287.882,1000
0.4.19.93.287.883,1000
0.4.19.93.288,1000
0.4.19.94,1000
0.4.20,1000
0.9,1000
0.15,1000
0.16,
0.16.17,1000
0.16.18,
0.16.18.37,
0.16.18.37.95,
0.16.18.37.95.247,
0.16.18.37.95.247.298,1000
0.16.18.37.95.247.300,1000
0.16.18.37.95.249,1000
0.16.18.37.96,1000
0.16.18.40,
0.16.18.40.79,
0.16.18.40.79.185,
0.16.18.40.79.185.691,1000
0.16.18.40.79.185.694,1000
0.16.18.40.79.186,1000
0.16.18.40.80,1000
0.3.8.23,
0.3.8.23.81,
0.3.8.23.81.259,
0.3.8.23.81.259.755,
0.3.8.23.81.259.755.1550,1000
0.3.8.23.81.259.755.1551,1000
0.3.8.23.81.259.760,1000
0.3.8.23.81.260,1000
0.3.8.23.82,1000
0.3.8.24,1000
0.25,1000
0.28,
0.2.5.11.29,
0.2.5.11.29.56,1000
0.2.5.11.29.57,1000
0.2.5.11.30,1000
0.31,
0.31.39,
0.31.39.76,
0.31.39.76.217,
0.31.39.76.217.384,1000
0.31.39.76.217.385,1000
0.31.39.76.221,1000
0.31.39.78,1000
0.31.42,1000
0.32,1000
0.33,
0.33.232,
0.33.232.551,1000
0.33.232.552,1000
0.33.236,1000
0.34,
0.34.75,
0.34.75.229,1000
0.34.75.233,1000
0.34.77,
0.34.77.210,
0.34.77.210.707,
0.34.77.210.707.1208,1000
0.34.77.210.707.1209,1000
0.34.77.210.708,1000
0.34.77.211,1000
0.4.20.35,
0.4.20.35.71,
0.4.20.35.71.243,1000
0.4.20.35.71.244,1000
0.4.20.35.72,1000
0.4.20.36,1000
0.43,
0.43.86,
0.43.86.231,1000
0.43.86.235,1000
0.43.88,1000
0.44,
0.44.89,
0.44.89.275,
0.44.89.275.452,1000
0.44.89.275.453,1000
