id,value
0,
0.1,
0.1.17,
0.1.17.63,
0.1.17.63.131,1000
0.1.17.63.132,1000
0.1.17.64,1000
0.1.18,1000
0.2,
0.2.35,
0.2.35.87,1000
0.2.35.88,1000
0.2.36,1000
0.3,1000
0.4,
0.4.32,
0.4.32.93,1000
0.4.32.94,1000
0.4.33,1000
0.5,
0.5.30,
0.5.30.82,1000
0.5.30.83,1000
0.5.31,1000
0.6,
0.6.13,
0.6.13.39,
0.6.13.39.102,1000
0.6.13.39.103,1000
0.6.13.40,1000
0.6.14,1000
0.7,
0.7.24,
0.7.24.71,
0.7.24.71.159,1000
0.7.24.71.160,1000
0.7.24.72,1000
0.7.25,1000
0.8,
0.8.19,
0.8.19.58,1000
0.8.19.59,1000
0.8.20,1000
0.9,
0.9.21,
0.9.21.52,
0.9.21.52.136,1000
0.9.21.52.137,1000
0.9.21.53,1000
0.9.22,1000
0.10,
0.10.15,
0.10.15.44,
0.10.15.44.114,1000
0.10.15.44.115,1000
0.10.15.45,1000
0.10.16,1000
0.11,1000
0.12,
0.12.28,
0.12.28.155,1000
0.12.28.156,1000
0.12.29,1000
0.34,
0.34.50,
0.34.50.116,1000
0.34.50.117,1000
0.34.51,
0.34.51.127,1000
0.34.51.128,1000
0.6.14.37,
0.6.14.37.91,1000
0.6.14.37.92,1000
0.6.14.38,
0.6.14.38.95,1000
0.6.14.38.96,1000
0.8.20.46,
0.8.20.46.107,1000
0.8.20.46.109,1000
0.8.20.47,
0.8.20.47.110,1000
0.8.20.47.111,1000
0.1.18.48,
0.1.18.48.125,1000
0.1.18.48.126,1000
0.1.18.49,
0.1.18.49.104,1000
0.1.18.49.105,1000
0.7.25.54,
0.7.25.54.133,1000
0.7.25.54.135,1000
0.7.25.55,
0.7.25.55.138,1000
0.7.25.55.139,1000
0.10.16.56,
0.10.16.56.141,1000
0.10.16.56.142,1000
0.10.16.57,1000
0.65,
0.9.22.66,
0.9.22.66.123,1000
0.9.22.66.124,1000
0.9.22.67,
0.9.22.67.163,1000
0.9.22.67.164,1000
0.12.29.68,
0.12.29.68.161,1000
0.12.29.68.162,1000
0.12.29.69,1000
0.78,
0.5.31.79,1000
0.5.31.80,1000
0.81,1000
0.84,
0.4.33.85,1000
0.4.33.86,1000
0.2.36.89,1000
0.2.36.90,
0.6.13.40.97,1000
0.6.13.40.98,1000
0.10.15.45.106,1000
0.10.15.45.108,1000
0.10.16.57.112,1000
0.10.16.57.113,1000
0.7.24.72.119,1000
0.7.24.72.120,1000
0.9.21.53.121,1000
0.9.21.53.122,1000
0.130,
0.130.150,1000
0.130.151,1000
0.134,
0.1.17.64.146,1000
0.1.17.64.147,1000
0.12.29.69.157,1000
0.12.29.69.158,1000
