id,value
0,
0.1,
0.1.213,1000
0.1.215,1000
0.2,1000
0.3,1000
0.4,
0.4.260,1000
0.4.261,1000
0.5,1000
0.6,1000
0.7,1000
0.8,
0.8.266,1000
0.8.267,1000
0.9,1000
0.10,
0.10.139,1000
0.10.141,1000
0.11,1000
0.12,1000
0.13,
0.13.115,1000
0.13.117,1000
0.14,
0.14.159,1000
0.14.162,1000
0.15,
0.15.143,1000
0.15.148,1000
0.16,
0.16.160,1000
0.16.163,1000
0.17,
0.17.99,1000
0.17.103,1000
0.18,
0.18.269,1000
0.18.270,1000
0.19,
0.19.204,1000
0.19.205,1000
0.20,
0.20.190,1000
0.20.192,1000
0.21,
0.21.100,
0.21.100.300,1000
0.21.100.301,1000
0.21.104,1000
0.22,
0.22.136,1000
0.22.137,1000
0.23,
0.23.123,
0.23.123.357,1000
0.23.123.358,1000
0.23.124,1000
0.24,
0.24.140,1000
0.24.142,1000
0.25,
0.25.234,1000
0.25.236,1000
0.26,
0.26.108,
0.26.108.305,1000
0.26.108.307,1000
0.26.110,1000
0.27,
0.27.176,1000
0.27.178,1000
0.28,
0.28.240,1000
0.28.242,1000
0.29,1000
0.30,
0.30.195,1000
0.30.197,1000
0.31,
0.31.188,1000
0.31.189,1000
0.32,1000
0.33,
0.33.144,1000
0.33.149,1000
0.34,
0.34.116,1000
0.34.118,1000
0.35,
0.35.113,1000
0.35.114,1000
0.36,
0.36.253,1000
0.36.254,1000
0.37,
0.37.101,1000
0.37.105,1000
0.38,1000
0.39,
0.39.273,1000
0.39.274,1000
0.40,
0.40.156,1000
0.40.157,1000
0.41,1000
0.42,
0.42.241,1000
0.42.243,1000
0.43,1000
0.44,
0.44.440,1000
0.44.445,1000
0.45,
0.45.196,
0.45.196.480,1000
0.45.196.481,1000
0.45.198,1000
0.46,
0.46.168,1000
0.46.169,1000
0.47,
0.47.316,1000
0.47.319,1000
0.48,1000
0.49,1000
0.50,
0.50.109,
0.50.109.475,1000
0.50.109.477,1000
0.50.111,1000
0.51,
0.51.127,
0.51.127.413,1000
0.51.127.414,1000
0.51.130,1000
0.52,1000
0.53,1000
0.54,1000
0.55,
0.55.442,1000
0.55.447,1000
0.56,
0.56.214,1000
0.56.216,1000
0.57,1000
0.58,1000
0.59,
0.59.145,1000
0.59.150,1000
0.60,
0.60.250,1000
0.61,
0.61.223,1000
0.61.225,1000
0.62,1000
0.63,1000
0.64,
0.64.177,1000
0.64.179,1000
0.65,
0.65.327,1000
0.65.330,1000
0.66,1000
0.67,1000
0.68,
0.68.146,1000
0.68.151,1000
0.69,
0.69.128,1000
0.69.131,1000
0.70,
0.70.119,1000
0.70.120,1000
0.71,1000
0.72,1000
0.73,1000
0.74,
0.74.129,
0.74.129.221,1000
0.74.129.222,1000
0.74.132,1000
0.75,
0.75.161,1000
0.75.164,1000
0.76,
0.76.181,1000
0.76.183,1000
0.77,1000
0.78,
0.78.422,1000
0.78.424,1000
0.79,
0.79.185,
0.79.185.363,1000
0.79.185.365,1000
0.79.186,1000
0.80,
0.80.182,
0.80.182.338,1000
0.80.182.340,1000
0.80.184,1000
0.81,
0.81.173,
0.81.173.404,1000
0.81.173.405,1000
0.81.175,1000
0.82,
0.82.200,
0.82.200.343,1000
0.82.200.345,1000
0.82.202,1000
0.83,
0.83.102,1000
0.83.106,1000
0.84,
0.84.172,1000
0.84.174,1000
0.85,1000
0.86,1000
0.87,
0.87.147,
0.87.147.317,1000
0.87.147.320,1000
0.87.152,1000
0.88,
0.88.247,1000
0.88.249,1000
0.89,
0.89.201,
0.89.201.399,1000
0.89.201.401,1000
0.89.203,1000
0.90,
0.90.224,1000
0.90.226,1000
0.91,
0.91.355,1000
0.91.356,1000
0.92,1000
0.93,1000
0.94,1000
0.95,1000
0.96,1000
0.97,
0.97.233,1000
0.97.235,1000
0.98,
0.98.312,1000
0.98.313,1000
0.107,
0.107.277,1000
0.107.278,1000
0.112,
0.112.166,1000
0.112.167,1000
0.121,1000
0.122,1000
0.125,1000
0.126,1000
0.133,
0.133.288,1000
0.133.290,1000
0.134,1000
0.135,1000
0.138,1000
0.153,1000
0.154,1000
0.155,1000
0.158,1000
0.165,1000
0.170,1000
0.171,1000
0.180,1000
0.194,
0.194.207,1000
0.194.208,1000
0.199,1000
0.209,
0.209.219,
0.209.219.493,1000
0.209.219.494,1000
0.209.220,1000
0.210,1000
0.217,1000
0.218,1000
0.227,1000
0.228,1000
0.229,1000
0.230,1000
0.231,1000
0.232,1000
0.238,1000
0.239,1000
0.244,1000
0.245,1000
0.251,1000
0.252,
0.252.421,1000
0.252.423,1000
0.255,1000
0.256,
0.256.443,1000
0.256.448,1000
0.257,1000
0.258,1000
0.259,1000
0.262,1000
0.263,1000
0.264,1000
0.265,1000
0.268,1000
0.272,1000
0.275,1000
0.276,1000
0.279,1000
0.283,1000
0.284,1000
0.285,1000
0.286,1000
0.287,1000
0.294,1000
0.295,1000
0.296,
0.87.152.298,1000
0.87.152.299,1000
0.303,1000
0.309,1000
0.310,1000
0.311,
0.13.117.315,1000
0.13.117.318,1000
0.321,1000
0.322,1000
0.323,1000
0.324,
0.26.110.325,1000
0.26.110.328,1000
0.331,1000
0.332,
0.37.105.337,1000
0.37.105.339,1000
0.21.104.342,1000
0.21.104.344,1000
0.346,
0.84.174.348,1000
0.84.174.350,1000
0.352,1000
0.353,1000
0.354,1000
0.359,1000
0.360,1000
0.361,
0.80.184.362,1000
0.80.184.364,1000
0.367,1000
0.368,1000
0.369,
0.81.175.370,1000
0.81.175.371,1000
0.379,1000
0.380,
0.89.203.385,1000
0.89.203.386,1000
0.387,1000
0.388,1000
0.390,1000
0.391,1000
0.393,
0.82.202.394,1000
0.82.202.395,1000
0.396,1000
0.397,
0.27.178.398,1000
0.27.178.400,1000
0.402,1000
0.403,1000
0.406,1000
0.407,1000
0.408,1000
0.410,1000
0.420,1000
0.425,1000
0.426,1000
0.430,
0.46.169.431,1000
0.46.169.432,1000
0.435,1000
0.436,1000
0.437,1000
0.453,1000
0.462,1000
0.463,
0.31.189.466,1000
0.31.189.467,1000
0.469,1000
0.479,1000
0.486,1000
0.487,1000
0.488,1000
0.489,1000
0.495,1000
0.512,1000
0.513,1000
0.516,1000
0.517,1000
0.528,1000
0.529,1000
0.530,1000
0.531,1000
0.542,1000
0.543,1000
