id,value
0,
0.1,1000
0.2,1000
0.3,
0.3.45,1000
0.3.46,1000
0.5,1000
0.6,1000
0.7,1000
0.9,1000
0.13,
0.13.15,1000
0.13.16,1000
0.14,
0.14.31,1000
0.14.32,1000
0.18,1000
0.22,
0.22.23,1000
0.22.24,1000
0.25,1000
0.29,1000
0.30,1000
0.34,1000
0.35,1000
0.41,1000
0.42,1000
0.43,1000
0.44,
0.44.77,1000
0.44.78,
0.14.32.47,1000
0.14.32.48,1000
0.56,
0.56.59,1000
0.56.60,1000
0.58,1000
0.65,1000
0.66,1000
0.67,1000
0.68,1000
0.69,
0.69.82,1000
0.69.83,1000
0.70,1000
0.73,1000
0.74,1000
0.76,1000
0.79,1000
0.80,1000
0.81,1000
