id,value
0,
0.1,
0.1.89,
0.1.89.138,1000
0.1.89.140,1000
0.1.90,1000
0.2,
0.2.29,
0.2.29.76,
0.2.29.76.173,
0.2.29.76.173.504,
0.2.29.76.173.504.593,
0.2.29.76.173.504.593.895,
0.2.29.76.173.504.593.895.1050,1000
0.2.29.76.173.504.593.895.1051,1000
0.2.29.76.173.504.593.896,1000
0.2.29.76.173.504.594,1000
0.2.29.76.173.506,1000
0.2.29.76.174,1000
0.2.29.80,1000
0.2.34,1000
0.3,
0.3.67,
0.3.67.201,1000
0.3.67.202,1000
0.3.68,1000
0.4,
0.4.16,
0.4.16.39,
0.4.16.39.122,1000
0.4.16.39.123,1000
0.4.16.41,1000
0.4.17,1000
0.5,
0.5.25,
0.5.25.87,
0.5.25.87.186,
0.5.25.87.186.278,
0.5.25.87.186.278.291,
0.5.25.87.186.278.291.392,
0.5.25.87.186.278.291.392.444,1000
0.5.25.87.186.278.291.392.445,1000
0.5.25.87.186.278.291.393,1000
0.5.25.87.186.278.292,1000
0.5.25.87.186.280,1000
0.5.25.87.187,1000
0.5.25.88,1000
0.5.30,1000
0.6,
0.6.28,
0.6.28.163,
0.6.28.163.205,1000
0.6.28.163.206,1000
0.6.28.164,1000
0.6.33,1000
0.7,1000
0.9,
0.9.117,1000
0.9.118,1000
0.10,1000
0.11,
0.11.26,
0.11.26.69,1000
0.11.26.70,1000
0.11.31,1000
0.12,
0.12.19,
0.12.19.73,
0.12.19.73.219,
0.12.19.73.219.380,1000
0.12.19.73.219.381,1000
0.12.19.73.220,1000
0.12.19.74,1000
0.12.20,1000
0.13,
0.13.188,
0.13.188.309,
0.13.188.309.1116,
0.13.188.309.1116.1272,
0.13.188.309.1116.1272.2284,1000
0.13.188.309.1116.1272.2291,1000
0.13.188.309.1116.1273,1000
0.13.188.309.1117,1000
0.13.188.310,1000
0.13.189,1000
0.14,
0.14.75,
0.14.75.165,
0.14.75.165.425,
0.14.75.165.425.446,
0.14.75.165.425.446.610,1000
0.14.75.165.425.446.618,1000
0.14.75.165.425.447,1000
0.14.75.165.426,1000
0.14.75.167,1000
0.14.79,1000
0.15,
0.15.124,1000
0.15.125,1000
0.18,
0.18.153,
0.18.153.158,
0.18.153.158.246,
0.18.153.158.246.289,
0.18.153.158.246.289.517,
0.18.153.158.246.289.517.601,
0.18.153.158.246.289.517.601.1434,
0.18.153.158.246.289.517.601.1434.2256,
0.18.153.158.246.289.517.601.1434.2256.3350,1000
0.18.153.158.246.289.517.601.1434.2256.3351,1000
0.18.153.158.246.289.517.601.1434.2257,1000
0.18.153.158.246.289.517.601.1435,1000
0.18.153.158.246.289.517.602,1000
0.18.153.158.246.289.518,1000
0.18.153.158.246.290,1000
0.18.153.158.247,1000
0.18.153.159,1000
0.18.154,1000
0.21,1000
0.22,
0.22.77,
0.22.77.197,
0.22.77.197.263,
0.22.77.197.263.388,1000
0.22.77.197.263.389,1000
0.22.77.197.264,1000
0.22.77.198,1000
0.22.81,1000
0.23,
0.23.78,
0.23.78.231,
0.23.78.231.959,
0.23.78.231.959.1221,1000
0.23.78.231.959.1222,1000
0.23.78.231.961,1000
0.23.78.232,1000
0.23.82,1000
0.24,
0.24.130,
0.24.130.199,
0.24.130.199.243,
0.24.130.199.243.275,
0.24.130.199.243.275.429,
0.24.130.199.243.275.429.783,1000
0.24.130.199.243.275.429.784,1000
0.24.130.199.243.275.430,1000
0.24.130.199.243.276,1000
0.24.130.199.244,1000
0.24.130.200,1000
0.24.131,
0.24.131.203,
0.24.131.203.239,
0.24.131.203.239.328,
0.24.131.203.239.328.605,
0.24.131.203.239.328.605.1122,
0.24.131.203.239.328.605.1122.1777,1000
0.24.131.203.239.328.605.1122.1778,1000
0.24.131.203.239.328.605.1125,1000
0.24.131.203.239.328.613,1000
0.24.131.203.239.329,1000
0.24.131.203.240,1000
0.24.131.204,
0.24.131.204.822,
0.24.131.204.822.889,
0.24.131.204.822.889.940,1000
0.24.131.204.822.889.941,1000
0.24.131.204.822.890,1000
0.24.131.204.823,1000
0.12.20.27,1000
0.12.20.32,1000
0.35,
0.4.17.40,
0.4.17.40.120,
0.4.17.40.120.161,1000
0.4.17.40.120.162,1000
0.4.17.40.121,1000
0.4.17.42,
0.12.20.32.53,
0.12.20.32.53.155,
0.12.20.32.53.155.261,
0.12.20.32.53.155.261.530,
0.12.20.32.53.155.261.530.2554,
0.12.20.32.53.155.261.530.2554.2849,
0.12.20.32.53.155.261.530.2554.2849.3960,
0.12.20.32.53.155.261.530.2554.2849.3960.4531,1000
0.12.20.32.53.155.261.530.2554.2849.3960.4532,1000
0.12.20.32.53.155.261.530.2554.2849.3961,1000
0.12.20.32.53.155.261.530.2554.2850,1000
0.12.20.32.53.155.261.530.2555,1000
0.12.20.32.53.155.261.534,1000
0.12.20.32.53.155.262,1000
0.12.20.32.53.156,1000
0.12.20.32.54,1000
0.55,1000
0.63,
0.63.341,
0.63.341.606,1000
0.63.341.614,1000
0.63.342,1000
0.64,
0.64.207,
0.64.207.359,
0.64.207.359.583,
0.64.207.359.583.658,1000
0.64.207.359.583.659,1000
0.64.207.359.584,1000
0.64.207.360,1000
0.64.208,1000
0.65,
0.65.215,
0.65.215.390,
0.65.215.390.476,
0.65.215.390.476.644,1000
0.65.215.390.476.645,1000
0.65.215.390.477,1000
0.65.215.391,1000
0.65.216,
0.6.33.71,
0.6.33.71.91,
0.6.33.71.91.365,
0.6.33.71.91.365.564,1000
0.6.33.71.91.365.566,1000
0.6.33.71.91.366,1000
0.6.33.71.92,1000
0.6.33.72,1000
0.83,
0.83.259,
0.83.259.330,
0.83.259.330.1260,1000
0.83.259.330.1261,1000
0.83.259.332,1000
0.83.260,1000
0.84,
0.84.227,
0.84.227.551,
0.84.227.551.2067,
0.84.227.551.2067.3011,1000
0.84.227.551.2067.3012,1000
0.84.227.551.2068,1000
0.84.227.552,1000
0.84.228,
0.22.81.101,
0.22.81.101.345,1000
0.22.81.101.346,1000
0.22.81.102,1000
0.119,1000
0.127,
0.127.180,1000
0.127.181,
0.5.30.132,1000
0.5.30.133,
0.5.30.133.400,
0.5.30.133.400.664,1000
0.5.30.133.400.669,1000
0.5.30.133.401,
0.5.30.133.401.660,1000
0.5.30.133.401.661,
0.5.30.133.401.661.863,
0.5.30.133.401.661.863.1252,1000
0.5.30.133.401.661.863.1253,1000
0.5.30.133.401.661.864,1000
0.12.20.32.54.137,
0.12.20.32.54.137.235,1000
0.12.20.32.54.137.236,1000
0.12.20.32.54.139,1000
0.152,
0.2.29.80.168,
0.2.29.80.168.707,1000
0.2.29.80.168.708,1000
0.2.29.80.169,1000
0.14.79.171,
0.14.79.171.1336,1000
0.14.79.171.1337,1000
0.14.79.172,1000
0.179,
0.179.331,
0.179.331.349,
0.179.331.349.505,
0.179.331.349.505.599,
0.179.331.349.505.599.2002,
0.179.331.349.505.599.2002.2680,
0.179.331.349.505.599.2002.2680.3428,
0.179.331.349.505.599.2002.2680.3428.4467,
0.179.331.349.505.599.2002.2680.3428.4467.4665,
0.179.331.349.505.599.2002.2680.3428.4467.4665.4793,1000
0.179.331.349.505.599.2002.2680.3428.4467.4665.4800,1000
0.179.331.349.505.599.2002.2680.3428.4467.4666,1000
0.179.331.349.505.599.2002.2680.3428.4468,1000
0.179.331.349.505.599.2002.2680.3432,1000
0.179.331.349.505.599.2002.2690,1000
0.179.331.349.505.599.2003,1000
0.179.331.349.505.600,1000
0.179.331.349.507,1000
0.179.331.350,1000
0.179.333,
0.5.25.88.184,
0.5.25.88.184.667,1000
0.5.25.88.184.672,1000
0.5.25.88.185,
0.5.25.88.185.225,1000
0.5.25.88.185.226,1000
0.6.33.72.190,1000
0.6.33.72.192,1000
0.2.34.193,1000
0.2.34.194,
0.5.25.87.187.217,1000
0.5.25.87.187.218,1000
0.15.125.229,
0.15.125.229.265,
0.15.125.229.265.528,
0.15.125.229.265.528.3476,1000
0.15.125.229.265.528.3477,1000
0.15.125.229.265.532,1000
0.15.125.229.266,1000
0.15.125.230,
0.15.125.230.665,
0.15.125.230.665.750,
0.15.125.230.665.750.1639,
0.15.125.230.665.750.1639.2851,1000
0.15.125.230.665.750.1639.2852,1000
0.15.125.230.665.750.1640,1000
0.15.125.230.665.751,1000
0.15.125.230.670,
0.4.17.40.121.233,
0.4.17.40.121.233.339,1000
0.4.17.40.121.233.340,1000
0.4.17.40.121.234,
0.4.17.40.120.162.237,
0.4.17.40.120.162.237.269,
0.4.17.40.120.162.237.269.638,1000
0.4.17.40.120.162.237.269.639,1000
0.4.17.40.120.162.237.270,1000
0.4.17.40.120.162.238,1000
0.1.90.241,1000
0.1.90.242,
0.1.90.242.1282,
0.1.90.242.1282.1804,
0.1.90.242.1282.1804.4636,1000
0.1.90.242.1282.1804.4637,1000
0.1.90.242.1282.1805,1000
0.1.90.242.1284,1000
0.23.82.256,
0.23.82.256.468,1000
0.23.82.256.469,1000
0.23.82.257,1000
0.258,
0.258.748,
0.258.748.1073,
0.258.748.1073.1223,1000
0.258.748.1073.1224,1000
0.258.748.1076,1000
0.258.749,
0.5.25.87.187.218.271,1000
0.5.25.87.187.218.272,1000
0.18.154.277,
0.18.154.277.786,
0.18.154.277.786.1326,
0.18.154.277.786.1326.1412,1000
0.18.154.277.786.1326.1413,1000
0.18.154.277.786.1327,1000
0.18.154.277.788,1000
0.18.154.279,1000
0.286,
0.4.17.40.120.162.238.295,
0.4.17.40.120.162.238.295.666,1000
0.4.17.40.120.162.238.295.671,1000
0.4.17.40.120.162.238.296,1000
0.6.28.163.206.297,1000
0.6.28.163.206.298,1000
0.318,
0.4.17.40.120.162.238.296.326,1000
0.4.17.40.120.162.238.296.327,1000
0.14.75.167.347,1000
0.14.75.167.348,
0.14.75.167.348.519,1000
0.14.75.167.348.520,1000
0.1.89.140.351,
0.1.89.140.351.431,1000
0.1.89.140.351.432,1000
0.1.89.140.352,
0.1.89.140.352.378,1000
0.1.89.140.352.379,
0.6.28.163.206.298.363,
0.6.28.163.206.298.363.482,
0.6.28.163.206.298.363.482.648,
0.6.28.163.206.298.363.482.648.683,1000
0.6.28.163.206.298.363.482.648.684,1000
0.6.28.163.206.298.363.482.649,1000
0.6.28.163.206.298.363.483,1000
0.6.28.163.206.298.364,
0.4.17.40.120.162.238.296.327.368,
0.4.17.40.120.162.238.296.327.368.836,
0.4.17.40.120.162.238.296.327.368.836.1278,1000
0.4.17.40.120.162.238.296.327.368.836.1279,1000
0.4.17.40.120.162.238.296.327.368.837,1000
0.4.17.40.120.162.238.296.327.370,1000
0.14.79.172.371,
0.14.79.172.371.410,
0.14.79.172.371.410.419,
0.14.79.172.371.410.419.1864,
0.14.79.172.371.410.419.1864.2069,1000
0.14.79.172.371.410.419.1864.2070,1000
0.14.79.172.371.410.419.1865,1000
0.14.79.172.371.410.420,1000
0.14.79.172.371.411,1000
0.14.79.172.372,
0.14.79.172.372.771,
0.14.79.172.372.771.1569,
0.14.79.172.372.771.1569.2526,
0.14.79.172.372.771.1569.2526.3015,
0.14.79.172.372.771.1569.2526.3015.3588,1000
0.14.79.172.372.771.1569.2526.3015.3589,1000
0.14.79.172.372.771.1569.2526.3016,1000
0.14.79.172.372.771.1569.2527,1000
0.14.79.172.372.771.1570,1000
0.14.79.172.372.772,
0.14.79.172.372.772.1124,
0.14.79.172.372.772.1124.1159,1000
0.14.79.172.372.772.1124.1160,1000
0.14.79.172.372.772.1127,
0.14.79.172.372.772.1127.1693,1000
0.14.79.172.372.772.1127.1694,1000
0.6.33.71.91.366.382,
0.6.33.71.91.366.382.559,
0.6.33.71.91.366.382.559.687,
0.6.33.71.91.366.382.559.687.871,1000
0.6.33.71.91.366.382.559.687.872,1000
0.6.33.71.91.366.382.559.688,1000
0.6.33.71.91.366.382.560,1000
0.6.33.71.91.366.383,1000
0.179.331.350.394,1000
0.179.331.350.395,1000
0.399,
0.399.563,1000
0.399.565,
0.22.81.101.346.408,
0.22.81.101.346.408.427,1000
0.22.81.101.346.408.428,1000
0.22.81.101.346.409,1000
0.418,
0.418.464,
0.418.464.3169,1000
0.418.464.3170,1000
0.418.465,
0.64.207.360.440,
0.64.207.360.440.541,
0.64.207.360.440.541.867,
0.64.207.360.440.541.867.1112,
0.64.207.360.440.541.867.1112.1765,
0.64.207.360.440.541.867.1112.1765.2175,
0.64.207.360.440.541.867.1112.1765.2175.3633,
0.64.207.360.440.541.867.1112.1765.2175.3633.3995,
0.64.207.360.440.541.867.1112.1765.2175.3633.3995.4115,1000
0.64.207.360.440.541.867.1112.1765.2175.3633.3995.4116,1000
0.64.207.360.440.541.867.1112.1765.2175.3633.3996,1000
0.64.207.360.440.541.867.1112.1765.2175.3644,1000
0.64.207.360.440.541.867.1112.1765.2176,1000
0.64.207.360.440.541.867.1112.1766,1000
0.64.207.360.440.541.867.1113,1000
0.64.207.360.440.541.868,1000
0.64.207.360.440.542,1000
0.64.207.360.441,1000
0.18.153.159.448,
0.18.153.159.448.632,
0.18.153.159.448.632.724,1000
0.18.153.159.448.632.728,1000
0.18.153.159.448.633,1000
0.18.153.159.449,
0.18.153.159.449.500,
0.18.153.159.449.500.1314,
0.18.153.159.449.500.1314.1814,
0.18.153.159.449.500.1314.1814.2559,1000
0.18.153.159.449.500.1314.1814.2563,1000
0.18.153.159.449.500.1314.1815,1000
0.18.153.159.449.500.1315,1000
0.18.153.159.449.501,
0.18.153.159.449.501.523,
0.18.153.159.449.501.523.1184,1000
0.18.153.159.449.501.523.1185,1000
0.18.153.159.449.501.524,1000
0.1.89.140.351.432.452,1000
0.1.89.140.351.432.453,
0.1.89.140.351.432.453.460,
0.1.89.140.351.432.453.460.608,1000
0.1.89.140.351.432.453.460.616,1000
0.1.89.140.351.432.453.461,
0.1.89.140.351.432.453.461.513,
0.1.89.140.351.432.453.461.513.1149,
