id,value
0,
0.1,1000
0.2,
0.2.171,1000
0.2.172,1000
0.3,
0.3.20,
0.3.20.52,1000
0.3.20.53,1000
0.3.21,1000
0.4,1000
0.5,
0.5.23,1000
0.5.24,1000
0.6,
0.6.15,1000
0.6.16,1000
0.7,1000
0.8,1000
0.9,1000
0.10,1000
0.11,1000
0.22,1000
0.38,1000
0.39,1000
0.40,1000
0.44,1000
0.48,
0.3.20.53.54,
0.3.20.53.54.75,
0.3.20.53.54.75.92,1000
0.3.20.53.54.75.93,1000
0.3.20.53.54.76,1000
0.3.20.53.55,1000
0.58,1000
0.67,1000
0.68,
0.68.258,1000
0.68.260,1000
0.69,1000
0.74,1000
0.100,1000
0.108,1000
0.119,
0.119.125,1000
0.119.126,1000
0.150,1000
0.156,
0.3.20.53.54.76.159,
0.3.20.53.54.76.159.162,1000
0.3.20.53.54.76.159.163,1000
0.3.20.53.54.76.160,1000
0.161,1000
0.168,1000
0.182,
0.182.244,1000
0.182.245,1000
0.188,1000
0.194,
0.3.20.53.54.75.93.197,1000
0.3.20.53.54.75.93.198,1000
0.203,1000
0.204,1000
0.213,1000
0.215,1000
0.223,
0.2.172.224,1000
0.2.172.225,1000
0.232,1000
0.243,1000
0.249,1000
0.257,
0.257.263,1000
0.257.265,1000
